csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],1170664,0.459711,6.325,142559.194352,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],1325984,0.903004,7.251,145151.066777,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],1401280,1.808546,7.661,144947.344196,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],1485056,3.608901,8.396,145276.351383,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],1585792,7.292929,9.246,143779.809188,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],1783088,14.677140,10.718,142885.607103,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],1985584,29.430794,12.889,142514.131744,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],2323760,61.840605,16.627,135648.866313,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],2929120,132.606035,24.444,126519.248857,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,25,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,512],3074960,408.186749,38.891,82203.628827,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],1170664,0.474332,6.724,138164.841931,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],1325984,0.934086,7.371,140321.133058,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],1401280,1.838852,7.997,142558.496462,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],1485056,3.738550,8.761,140238.332383,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],1585792,7.292022,9.424,143797.701932,0.00,0.00,0.00,0.00
